name,id,genres
Drake,3TVXtAsR1Inumwj472S9r4,rap
Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,
Migos,6oMuImdp5ZcFhWP0ESe6mG,trap
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,rap
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,r&b
Dave,6Ip8FS7vWT1uKkJSweANQK,"grime, uk grime, uk drill, drill"
Future,1RyvyyTE3xzB2ZywiAwp0i,rap
D-Block Europe,5VadK1havLhK1OpKYsXv9y,"grime, uk drill"
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,rap
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,melodic rap
Quavo,0VRj0yCOv2FXJNP47XQnx5,
Masego,3ycxRkcZ67ALN3GQJ57Vig,
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,rap
Young Thug,50co4Is1HCEo8bhOyUWKpn,"rap, melodic rap, trap"
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,melodic rap
Lil Baby,5f7VJjfbwm532GiveGC0ZK,
HoodRich Pablo Juan,1ZLO8d7zll1WeQJUHaxQer,
Pavement,3inCNiUr4R6XQ3W43s9Aqi,alt
Central Cee,5H4yInM5zmHqpKIoMNAx4r,"uk drill, drill, uk grime"
Sheff G,1tG7s7S4sq2eFFW0QZyLbm,"brooklyn drill, new york drill, drill"
Young Nudy,5yPzzu25VzEk8qrGTLIrE1,
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,"brooklyn drill, new york drill, drill"
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,rage rap
Meek Mill,20sxb77xiYeusSH8cVdatc,rap
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,
Lil Durk,3hcs9uc56yIGFCSy9leWe7,"chicago drill, drill"
Young Stoner Life,1xr2G8Hlx4QWmT9HaUbmoO,
Free Party,2A1dxDBORVkkbHJDVDOhed,
King Von,6QtgPSJPSzcnn7dPZ4VINp,"chicago drill, drill"
SahBabii,7GuUYiGZOzQwq4L6gAfy1T,melodic rap
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,soft pop
La Capone,69HouC7BpXVxTAFwpckJHs,"chicago drill, drill"
Pooh Shiesty,5F1aAS1duwlzExnPs3l2Xe,
Kinrose,6SUbi1ZVEswHqRUWsxmq2m,
Calvin Harris,7CajNmpbOovFoOoasH2HaY,edm
NAV,7rkW85dBwwrJtlHRDkJDAC,melodic rap
Flozigg,0pTI6gG0UHQjylvV6mPuHv,
Skepta,2p1fiYHYiXz9qi0JJyxBzN,"grime, uk grime"
DaBaby,4r63FhuTkUYltbVAg5TQnk,
Indila,0FEJqmeLRzsXj8hgcZaAyB,french pop
Mustard,0YinUQ50QDB7ZxSCLyQ40k,
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,"southern hip hop, rap, trap"
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,trap
Faramarz Aslani,1xA7r3Y1UGCp3rQMkgFXz4,
Don Toliver,4Gso3d4CscCijv0lmajZWs,
muna,4URLjSfWtdArslMrlA5suJ,
Tame Impala,5INjqkS1o8h1imAzPqGZBb,"neo-psychedelic, indie"
Kurupt,6NyJIFHAePjHR1pFxwisqz,"g-funk, west coast hip hop, gangster rap, old school hip hop"
Huncho Jack,6extd4B6hl8VTmnlhpl2bY,
Trevor Spitta,6uCXq7IoXFqGSB3L5zX5oV,
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,melodic rap
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,pop
Eminem,7dGJo4pcD2V6oG8kP0tJRR,"rap, hip hop"
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,
21 Savage,1URnnhqYAYcrqrcwql10ft,
Lil Yachty,6icQOAFXDZKsumw3YXyusw,
Yeat,3qiHUAX7zY4Qnjx8TNUzVx,rage rap
Kodak Black,46SHBwWsqBkxI7EeeBEQG7,
Kap G,6JvU33PZ8MtZyeFTESr09O,
Polo G,6AgTAQt8XS6jRWi4sX7w49,
Castillo_1st,1SlEW6aktLpc1N6YvdEOmF,
Quality Control,6i392l38cR3uBPF0DbNs7S,
Georgian Folk,3D21btY4uY8j3LYwAR7zwz,
Key Glock,0RESbWvOMyua0yuyVrztJ5,
